# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,250019.53125,26226.482421875,75500.59375,-75500.59375,79926.015625,-70.84441375732422,1.0,4.975663614459337e-07,0.545972466468811,8.0,0.014347296208143234,0.11050149053335188,44.51753616333008,0.014080345630645752,0.12526875734329224,1.3496201063389888e-06,105.00456237792967,9.999999747378752e-06,0.26453736424446106,26226.482421875,-75500.59375,79926.015625,-70.84441375732422
1.0,198691.40625,38393.6328125,89637.1484375,-89637.1484375,97513.5390625,-66.81344604492188,1.0,5.143162411513913e-07,0.6500883102416992,8.0,0.014945074915885924,0.13926386833190915,-179.26412963867188,0.014727063477039335,0.09600974619388579,1.4058518900128547e-06,-120.74378204345705,9.999999747378752e-06,0.25383204221725464,38393.6328125,-89637.1484375,97513.5390625,-66.81344604492188
2.0,157792.96875,54309.6171875,103040.5546875,-103040.5546875,116477.0,-62.20761489868164,1.0,4.6031098577259405e-07,0.7191203236579895,8.0,0.015829045325517654,0.17523671686649323,-34.893917083740234,0.017927255481481552,0.09338364750146864,1.48900517160655e-06,20.691823959350582,9.999999747378752e-06,0.2770397961139679,54309.6171875,-103040.5546875,116477.0,-62.20761489868164
3.0,125332.03125,75979.1953125,116436.9921875,-116436.9921875,139033.859375,-56.87415313720703,1.0,4.882946882389662e-07,0.740256130695343,8.0,0.016808003187179565,0.22133988142013547,148.99574279785156,0.02145308256149292,0.09240067005157471,1.5810936702109757e-06,-159.41238403320312,9.999999747378752e-06,0.269008606672287,75979.1953125,-116436.9921875,139033.859375,-56.87415313720703
4.0,99550.78125,102880.1484375,124462.2421875,-124462.2421875,161478.09375,-50.42295837402344,1.0,3.201388381057768e-07,0.8081535696983337,8.0,0.0178246833384037,0.2708858251571655,27.29998588562012,0.01181772258132696,0.037897683680057526,1.676730676081206e-06,73.75921630859375,9.999999747378752e-06,0.08626562356948851,102880.1484375,-124462.2421875,161478.09375,-50.42295837402344
5.0,79160.15625,131427.5,129017.2734375,-129017.2734375,184170.15625,-44.46978378295898,1.0,3.1386318255499646e-07,0.8065007328987122,8.0,0.01997467875480652,0.3462035059928894,84.28512573242188,0.023928197100758553,0.05328831449151039,1.8789761497828292e-06,125.62274932861328,9.999999747378752e-06,0.11266001313924788,131427.5,-129017.2734375,184170.15625,-44.46978378295898
6.0,62871.09375,160172.875,125759.765625,-125759.765625,203643.984375,-38.137237548828125,1.0,2.980382589612418e-07,0.8508610129356384,8.0,0.022895053029060364,0.4387699067592621,-156.8593597412109,0.0289679616689682,0.06376807391643524,2.153689592887531e-06,-121.2043685913086,9.999999747378752e-06,0.12822994589805603,160172.875,-125759.765625,203643.984375,-38.137237548828125
7.0,49980.46875,185863.890625,116809.1015625,-116809.1015625,219521.640625,-32.1479606628418,1.0,2.7815607950287813e-07,0.8757905960083008,8.0,0.026798561215400692,0.5535932779312134,9.804248809814451,0.03504358232021332,0.0625462755560875,2.520884436307824e-06,39.97837829589844,9.999999747378752e-06,0.14678287506103516,185863.890625,-116809.1015625,219521.640625,-32.1479606628418
8.0,39667.96875,207975.390625,104510.390625,-104510.390625,232757.78125,-26.68013381958008,1.0,2.7569896587920084e-07,0.8874980807304382,8.0,0.03189462423324585,0.6985423564910889,168.99102783203125,0.05615730583667755,0.07899849861860275,3.0002604489709483e-06,-165.8976287841797,9.999999747378752e-06,0.13770829141139984,207975.390625,-104510.390625,232757.78125,-26.68013381958008
9.0,31582.03125,224653.359375,91274.328125,-91274.328125,242487.390625,-22.11139678955078,1.0,2.843183608547406e-07,0.9121589064598083,8.0,0.03847184404730797,0.8777511119842529,-59.57129287719727,0.07030943781137465,0.0788877457380295,3.6189655929774736e-06,-38.71103286743164,9.999999747378752e-06,0.12632213532924652,224653.359375,-91274.328125,242487.390625,-22.11139678955078
10.0,25019.53125,237352.625,76528.7890625,-76528.7890625,249385.09375,-17.87070083618164,1.0,2.683628963495721e-07,0.94491308927536,8.0,0.047242820262908936,1.1084526777267456,-176.44039916992188,0.0934741124510765,0.083322636783123,4.444033038453199e-06,-159.5624542236328,9.999999747378752e-06,0.1149580031633377,237352.625,-76528.7890625,249385.09375,-17.87070083618164
11.0,19863.28125,246231.625,63694.56640625,-63694.56640625,254336.40625,-14.50321578979492,1.0,2.5786221158341505e-07,0.9399069547653198,8.0,0.05835333839058876,1.396249771118164,-141.21990966796875,0.11248837411403656,0.07938218116760254,5.489176146511454e-06,-127.50585174560545,9.999999747378752e-06,0.101981483399868,246231.625,-63694.56640625,254336.40625,-14.50321578979492
12.0,15682.8701171875,252161.453125,51814.62890625,-51814.62890625,257429.90625,-11.611623764038084,1.0,2.604705287012621e-07,0.9661757946014403,8.0,0.07301456481218338,1.768239974975586,175.5649261474609,0.14203870296478271,0.07930249720811844,6.868327091069659e-06,-173.4470977783203,9.999999747378752e-06,0.09270971268415452,252161.453125,-51814.62890625,257429.90625,-11.611623764038084
13.0,12597.65625,256473.53125,43448.65625,-43448.65625,260127.765625,-9.615073204040527,1.0,2.3128082204948441e-07,0.967340886592865,8.0,0.08990412205457686,2.2000300884246826,158.8033905029297,0.17624510824680328,0.07910054922103882,8.457092008029576e-06,167.9171905517578,9.999999747378752e-06,0.08854454010725021,256473.53125,-43448.65625,260127.765625,-9.615073204040527
14.0,9895.8330078125,259011.5,34264.1328125,-34264.1328125,261268.046875,-7.535792827606201,1.0,2.277616317769571e-07,0.9732877612113952,8.0,0.11385900527238844,2.7983901500701904,-168.86341857910156,0.22922734916210172,0.0809429958462715,1.0710477909015024e-05,-161.72157287597656,9.255285249309966e-07,0.08496887236833571,259011.5,-34264.1328125,261268.046875,-7.535792827606201
15.0,7910.15625,260568.125,27987.076171875,-27987.076171875,262066.828125,-6.130517005920409,1.0,2.304657442664393e-07,1.001418113708496,8.0,0.15195702016353607,3.497630834579468,-151.1143798828125,0.27940455079078674,0.07890795171260834,1.334606986347353e-05,-145.29884338378906,1.1422198440413922e-06,0.08342133462429047,260568.125,-27987.076171875,262066.828125,-6.130517005920409
16.0,6307.87060546875,261809.671875,22690.408203125,-22690.408203125,262791.09375,-4.953308582305908,1.0,2.043821893948916e-07,1.005509614944458,8.0,0.23976674675941467,4.146524429321289,-61.352005004882805,0.28127366304397583,0.06701428443193436,1.5778588931425475e-05,-56.6499137878418,1.1343322512402665e-06,0.07086453586816788,261809.671875,-22690.408203125,262791.09375,-4.953308582305908
17.0,4973.3232421875,262709.0625,18419.56640625,-18419.56640625,263354.0,-4.010669231414794,1.0,1.5841945355532516e-07,0.9708437323570253,8.0,0.3971331417560577,4.3678388595581055,-138.1835174560547,0.0664762482047081,0.014981081709265707,1.656331187405158e-05,-134.288330078125,9.999999747378752e-06,0.015254042111337183,262709.0625,-18419.56640625,263354.0,-4.010669231414794
18.0,3944.3598632812495,263309.5,15121.00390625,-15121.00390625,263743.3125,-3.2866997718811035,1.0,1.2457570619517358e-07,0.9507364630699155,8.0,0.5620606541633606,3.7364430427551274,-10.872838973999023,0.0070458510890603065,0.0008436735952273011,1.4152953554003032e-05,-7.698681831359862,9.999999747378752e-06,0.001028556260280311,263309.5,-15121.00390625,263743.3125,-3.2866997718811035
19.0,3144.054931640625,263749.34375,12517.2724609375,-12517.2724609375,264046.21875,-2.717159986495972,1.0,1.2782331282323867e-07,0.9575245976448061,8.0,0.6547482013702393,3.078002691268921,50.62400436401367,0.006342957727611065,0.0020605672616511583,1.1649066436802968e-05,53.240249633789055,9.999999747378752e-06,0.000698214746080339,263749.34375,-12517.2724609375,264046.21875,-2.717159986495972
20.0,2488.426025390625,264081.1875,10468.61328125,-10468.61328125,264288.59375,-2.270110607147217,1.0,1.2507467772593373e-07,0.961111843585968,8.0,0.7417470216751098,2.995410203933716,113.05304718017578,0.007938018068671225,0.002507850294932723,1.1328736945870332e-05,115.23731231689452,9.999999747378752e-06,0.0006973666604608296,264081.1875,-10468.61328125,264288.59375,-2.270110607147217
21.0,1976.6566162109373,264452.5625,8970.939453125,-8970.939453125,264604.6875,-1.942881226539612,1.0,1.2127641468850925e-07,0.9619230031967165,8.0,0.8135856986045836,2.903170585632324,-158.56634521484375,0.005987259559333324,0.00039403667324222624,1.0968506103381515e-05,-156.69464111328125,9.999999747378752e-06,0.0006887647323310375,264452.5625,-8970.939453125,264604.6875,-1.942881226539612
22.0,1582.03125,264739.53125,7898.887695312499,-7898.887695312499,264857.34375,-1.7089955806732176,1.0,1.1132860322504713e-07,0.9552063941955566,8.0,0.8710287809371949,2.8361186981201167,91.98387145996092,0.0075255571864545345,0.0005165843176655471,1.0706048669817392e-05,93.63442230224608,9.999999747378752e-06,0.0008151648798957467,264739.53125,-7898.887695312499,264857.34375,-1.7089955806732176
