# point,freq,zreal,reflected_zimag,zimag,zmod,zphz,zsig,Idc,Vdc,ie_range,gain,vmod,vphz,vsig,vthd,imod,iphz,isig,ithd,zreal_drift,zimag_drift,zmod_drift,zphz_drift
0.0,250019.53125,4282.19775390625,-581.3294677734375,581.3294677734375,4321.47705078125,7.730923652648925,1.0,5.409205527939777e-07,0.4930010735988617,8.0,0.04100840911269188,0.01667041890323162,-73.6181640625,0.003571210661903024,0.20937420427799225,3.857574938592734e-06,-81.34909057617188,9.999999747378752e-06,0.1589714139699936,4282.19775390625,581.3294677734375,4321.47705078125,7.730923652648925
1.0,198691.40625,4257.72021484375,-466.5811767578125,466.5811767578125,4283.208984375,6.25378942489624,1.0,4.995267204321864e-07,0.5680710077285768,8.0,0.049187544733285904,0.019818276166915894,54.26510620117188,0.0037582432851195335,0.177612766623497,4.626969257515157e-06,48.01131820678711,9.999999747378752e-06,0.1460319012403488,4257.72021484375,466.5811767578125,4283.208984375,6.25378942489624
2.0,157792.96875,4230.5771484375,-303.0633544921875,303.0633544921875,4241.41845703125,4.097464084625244,1.0,5.389459829530098e-07,0.6258172392845154,8.0,0.06014317274093628,0.02399600483477116,152.63804626464844,0.003907447680830956,0.15370583534240723,5.6575422604510095e-06,148.54058837890625,9.999999747378752e-06,0.13546255230903623,4230.5771484375,303.0633544921875,4241.41845703125,4.097464084625244
3.0,125332.03125,4241.63037109375,-248.00799560546875,248.00799560546875,4248.87451171875,3.3462724685668945,1.0,5.309408948050987e-07,0.669866144657135,8.0,0.07347743213176726,0.029367661103606224,112.98363494873045,0.004053190350532532,0.1318887323141098,6.9118677856749855e-06,109.63735961914062,9.129665272666898e-07,0.12723708152770996,4241.63037109375,248.00799560546875,4248.87451171875,3.3462724685668945
4.0,99550.78125,4201.20166015625,-152.01699829101562,152.01699829101562,4203.951171875,2.072296380996704,1.0,3.2682950745765993e-07,0.7039424180984497,8.0,0.08919917047023773,0.03527441993355751,-89.46363067626953,0.0018126352224498987,0.0464375875890255,8.390778930333907e-06,-91.53591918945312,9.999999747378752e-06,0.04590042680501938,4201.20166015625,152.01699829101562,4203.951171875,2.072296380996704
5.0,79160.15625,4203.248046875,-86.94935607910156,86.94935607910156,4204.1474609375,1.185064673423767,1.0,2.974449557768821e-07,0.6993884444236755,8.0,0.11257915943861008,0.044522278010845184,-1.6840934753417969,0.0028849118389189243,0.06257405132055283,1.0590085366857238e-05,-2.869158267974853,9.999999747378752e-06,0.05839582160115241,4203.248046875,86.94935607910156,4204.1474609375,1.185064673423767
6.0,62871.09375,4210.14599609375,-27.47845268249512,27.47845268249512,4210.23583984375,0.37394833564758306,1.0,2.7918247269553836e-07,0.7270678281784058,8.0,0.1496187448501587,0.05595442652702332,-7.151927471160889,0.0040480545721948155,0.07028565555810928,1.3290093193063512e-05,-7.525875568389891,9.54437155087362e-07,0.07000099122524261,4210.14599609375,27.47845268249512,4210.23583984375,0.37394833564758306
7.0,49980.46875,4220.54443359375,25.72259330749512,-25.72259330749512,4220.623046875,-0.3491913974285126,1.0,2.1969894703488535e-07,0.7328914403915405,8.0,0.23620861768722531,0.06663251668214798,-176.5306854248047,0.00455037783831358,0.06760335713624954,1.5787367374286987e-05,-176.18148803710935,1.0906848046943196e-06,0.06818556040525436,4220.54443359375,-25.72259330749512,4220.623046875,-0.3491913974285126
8.0,39667.96875,4233.87548828125,79.11386108398438,-79.11386108398438,4234.61474609375,-1.0704997777938843,1.0,1.7727006706991233e-07,0.7013478875160217,8.0,0.400795578956604,0.07185236364603043,-94.67867279052734,0.0026991842314600945,0.037541087716817856,1.6967864212347195e-05,-93.60816955566406,9.999999747378752e-06,0.03899607807397842,4233.87548828125,-79.11386108398438,4234.61474609375,-1.0704997777938843
9.0,31582.03125,4244.47607421875,127.9618682861328,-127.9618682861328,4246.40478515625,-1.7268221378326416,1.0,1.6839796046497213e-07,0.6815595626831055,8.0,0.5587999224662781,0.05920451134443283,-29.71682548522949,0.0006693194154649973,0.004027347080409527,1.3942268196842631e-05,-27.989999771118164,9.999999747378752e-06,0.0128777539357543,4244.47607421875,-127.9618682861328,4246.40478515625,-1.7268221378326416
10.0,25019.53125,4261.2099609375,190.68157958984372,-190.68157958984372,4265.47412109375,-2.562175273895264,1.0,1.7014542663673637e-07,0.6723886132240297,8.0,0.646325409412384,0.04933580756187439,-157.3367919921875,0.0006483301403932272,0.015044898726046084,1.1566311513888648e-05,-154.7746124267578,9.999999747378752e-06,0.015681704506278038,4261.2099609375,-190.68157958984372,4265.47412109375,-2.562175273895264
11.0,19863.28125,4282.21484375,245.87561035156247,-245.87561035156247,4289.267578125,-3.286192893981933,1.0,1.7362752657845706e-07,0.6726638078689575,8.0,0.7254124879837037,0.04814121127128601,-162.46258544921875,0.0008199636358767747,0.0019867748487740755,1.1223642104596364e-05,-159.1763916015625,9.999999747378752e-06,0.002717725932598114,4282.21484375,-245.87561035156247,4289.267578125,-3.286192893981933
12.0,15682.8701171875,4307.80029296875,313.1944885253906,-313.1944885253906,4319.17041015625,-4.158318042755127,1.0,1.8126669942830634e-07,0.6729620099067688,8.0,0.7945905327796936,0.04731062427163124,81.56180572509764,0.0007633446366526185,0.0018279985524713995,1.0953636774502227e-05,85.7201156616211,9.999999747378752e-06,0.0032883831299841404,4307.80029296875,-313.1944885253906,4319.17041015625,-4.158318042755127
13.0,12597.65625,4324.4482421875,398.92504882812494,-398.92504882812494,4342.8095703125,-5.270548820495605,1.0,1.682641368461191e-07,0.670501172542572,8.0,0.8481969833374022,0.04635794088244438,-2.010438203811645,0.0008360880892723799,0.0018883434822782876,1.067464290827047e-05,3.2601101398468018,9.999999747378752e-06,0.002544723218306899,4324.4482421875,-398.92504882812494,4342.8095703125,-5.270548820495605
14.0,9895.8330078125,4377.06396484375,468.4140319824218,-468.4140319824218,4402.05615234375,-6.108293533325195,1.0,1.5300524580652566e-07,0.6721012592315674,8.0,0.8883481621742249,0.04610436782240868,-2.290971279144287,0.000671275716740638,0.01406138390302658,1.047337082127342e-05,3.8173227310180655,9.999999747378752e-06,0.003689739620313048,4377.06396484375,-468.4140319824218,4402.05615234375,-6.108293533325195
15.0,7910.15625,4411.42041015625,557.6378784179688,-557.6378784179688,4446.525390625,-7.2044219970703125,1.0,1.2523614145720785e-07,0.6695023775100708,8.0,0.9192988872528077,0.0460144579410553,5.539933204650879,0.0007905030506663024,0.0015188792021945119,1.034840715874452e-05,12.744354248046877,9.999999747378752e-06,0.0033078778069466352,4411.42041015625,-557.6378784179688,4446.525390625,-7.2044219970703125
16.0,6307.87060546875,4458.33837890625,667.63525390625,-667.63525390625,4508.05029296875,-8.516744613647461,1.0,9.179372284506826e-08,0.67186039686203,8.0,0.940912127494812,0.046140369027853005,72.2443161010742,0.0008668883237987757,0.0011447855504229665,1.0235105946776455e-05,80.7610626220703,9.999999747378752e-06,0.002721415134146809,4458.33837890625,-667.63525390625,4508.05029296875,-8.516744613647461
17.0,4973.3232421875,4523.20361328125,802.8041992187501,-802.8041992187501,4593.89404296875,-10.064377784729004,1.0,9.195503025694052e-08,0.6753404140472412,8.0,0.9272611141204834,0.04527245089411736,-38.103702545166016,0.00067322637187317,0.000797102868091315,9.854917152551934e-06,-28.039325714111328,9.999999747378752e-06,0.0005866023129783571,4523.20361328125,-802.8041992187501,4593.89404296875,-10.064377784729004
18.0,3944.3598632812495,4592.9111328125,946.1864013671875,-946.1864013671875,4689.3603515625,-11.64065933227539,1.0,9.609576068214665e-08,0.6765566468238832,8.0,0.9535581469535828,0.048223506659269326,72.07040405273438,0.0004921720246784389,0.000765367702115327,1.0283599294780288e-05,83.7110595703125,9.999999747378752e-06,0.0006178658222779632,4592.9111328125,-946.1864013671875,4689.3603515625,-11.64065933227539
19.0,3144.054931640625,4669.50634765625,1119.74072265625,-1119.74072265625,4801.88623046875,-13.484817504882812,1.0,1.1626168827660877e-07,0.6725713610649109,8.0,0.9682993888854979,0.048761192709207535,109.55938720703124,0.0005795962060801685,0.008849401026964188,1.0154592018807305e-05,123.04420471191406,9.999999747378752e-06,0.0008023986592888832,4669.50634765625,-1119.74072265625,4801.88623046875,-13.484817504882812
20.0,2488.426025390625,4766.3037109375,1329.2264404296875,-1329.2264404296875,4948.1806640625,-15.582719802856444,1.0,1.2991323217192985e-07,0.6690859198570251,8.0,0.9760071039199827,0.04987569153308869,166.8856964111328,0.0006298638763837516,0.010334115475416183,1.007960054266732e-05,-177.5315704345703,9.999999747378752e-06,0.0008278362802229821,4766.3037109375,-1329.2264404296875,4948.1806640625,-15.582719802856444
21.0,1976.6566162109373,4879.99462890625,1569.994384765625,-1569.994384765625,5126.3271484375,-17.834049224853516,1.0,1.5652828722068082e-07,0.6681893467903137,8.0,0.9811221361160278,0.05153192579746246,-122.56855010986328,0.0006485139601863921,0.0013045198284089563,1.0052407560579011e-05,-104.73450469970705,9.999999747378752e-06,0.0007591695757582783,4879.99462890625,-1569.994384765625,5126.3271484375,-17.834049224853516
22.0,1582.03125,5009.28662109375,1862.3986816406248,-1862.3986816406248,5344.2939453125,-20.394592285156246,1.0,1.4435377693189366e-07,0.6576773524284363,8.0,0.9857195615768432,0.05369336903095245,120.89909362792967,0.0006671787705272436,0.0017735055880621076,1.0046858733403496e-05,141.29367065429688,9.999999747378752e-06,0.001333081629127264,5009.28662109375,-1862.3986816406248,5344.2939453125,-20.394592285156246
23.0,1253.6336669921875,5166.79541015625,2187.335205078125,-2187.335205078125,5610.72265625,-22.94511032104492,1.0,1.610734727819363e-07,0.6642090082168579,8.0,0.9892646074295045,0.05630900710821152,147.9070587158203,0.0003878686984535306,0.0025523416697978973,1.0035963896370959e-05,170.8521728515625,9.999999747378752e-06,0.0010931240394711494,5166.79541015625,-2187.335205078125,5610.72265625,-22.94511032104492
24.0,996.09375,5347.13720703125,2540.3798828125,-2540.3798828125,5919.916015625,-25.411998748779297,1.0,1.741707933433645e-07,0.6753745675086975,8.0,0.9912139177322388,0.05931581184267998,-17.4614315032959,0.0009604381630197168,0.003565739374607801,1.0019704859587364e-05,7.95056676864624,9.999999747378752e-06,0.0015447831247001886,5347.13720703125,-2540.3798828125,5919.916015625,-25.411998748779297
25.0,790.028076171875,5557.033203125,2959.483154296875,-2959.483154296875,6295.9638671875,-28.038217544555664,1.0,1.728925553834415e-07,0.684959352016449,8.0,0.9929423332214355,0.0630694180727005,-138.8435821533203,0.0006748181185685097,0.005512265954166651,1.0017437489295844e-05,-110.80536651611328,9.999999747378752e-06,0.001358415698632598,5557.033203125,-2959.483154296875,6295.9638671875,-28.038217544555664
26.0,628.8109741210938,5796.70849609375,3423.3720703125,-3423.3720703125,6732.10986328125,-30.56489944458008,1.0,1.577053865275957e-07,0.6948354244232178,8.0,0.9945177435874939,0.06742791086435318,72.08816528320312,0.0009072049870155752,0.006995819043368101,1.001586588245118e-05,102.65306854248045,9.999999747378752e-06,0.0012359792599454522,5796.70849609375,-3423.3720703125,6732.10986328125,-30.56489944458008
27.0,496.3235168457031,5770.2890625,4119.23876953125,-4119.23876953125,7089.736328125,-35.52191925048828,1.0,1.5051588775349958e-07,0.711841344833374,8.0,0.96662038564682,0.06890861690044403,101.7235870361328,0.0006287273135967553,0.006429119035601616,9.719488843984435e-06,137.24551391601562,9.999999747378752e-06,0.0005495415534824133,5770.2890625,-4119.23876953125,7089.736328125,-35.52191925048828
