,0,1,2,3,4,5,6,7
0,purge ,purge ,purge ,purge ,purge,e,x,Empty5 4 0
1,purge ,purge ,purge ,purge ,purge,e,LiAC 7.2 7,Empty6 4 0
2,purge ,purge ,purge ,purge ,purge,e,Empty7 0 0,LiSO4 4 3
3,purge ,purge ,purge ,purge ,purge,purge,Empty8 0 0,Empty2 4 0
4,purge ,purge ,purge ,purge ,purge,purge,e,Empty3 0 0
5,purge ,purge ,purge ,purge ,purge,purge,e,Empty4 0 0
