,LiOAc,LiFSI,LiClO4,Li2SO4,LiNO3,LiTFSI
0,1,0,0,0,0,0
1,1,1,0,0,0,0
2,0,0,1,0,0,0
3,0,0,0,1,0,0
4,0,0,0,0,1,0
5,0,0,0,0,1,1
