Reagent,Test_Name,GEIS,GEIS_Conditions,CV,CV_Conditions,CE
A3,2M,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
A2,4M,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
A1,8M,TRUE,250000 1 0.00001,TRUE,2 -2 0.005,FALSE
